Date,Farm,MilkingAmount,MilkingTime,MilkingMaxAmount
2020-06-01,Сирень,37511.08,1084138,0.0
2020-06-02,Сирень,24773.17,715776,0.0
2020-06-02,Ромашка,64802.1,1795861,22555.97
2020-06-02,Клевер,0.0,0,0.0
2020-06-02,Магнолия,31659.27,959128,0.0
2020-06-02,Вереск,28819.46,816427,11355.2
2020-06-03,Вереск,16013.51,413187,6135.82
2020-06-03,Клевер,0.0,0,0.0
2020-06-03,Магнолия,33072.3,1026753,0.0
2020-06-03,Ромашка,64760.3,1780760,23912.51
2020-06-04,Вереск,29750.84,832278,11756.31
2020-06-04,Клевер,0.0,0,0.0
2020-06-04,Магнолия,32874.43,1008478,0.0
2020-06-04,Ромашка,45143.6,1300939,15065.38
2020-06-05,Магнолия,34442.77,1054983,0.0
2020-06-05,Ромашка,65427.9,1797293,23296.07
2020-06-05,Вереск,42523.59,1195816,16980.92
2020-06-05,Клевер,0.0,0,0.0
2020-06-06,Вереск,27328.9,732966,10727.56
2020-06-06,Клевер,0.0,0,0.0
2020-06-06,Магнолия,32909.14,1010145,0.0
2020-06-06,Ромашка,68881.7,1931043,24558.86
2020-06-07,Вереск,41093.36,1194231,16703.32
2020-06-07,Клевер,0.0,0,0.0
2020-06-07,Магнолия,33846.02,1037401,0.0
2020-06-07,Ромашка,66575.2,1845058,25449.43
2020-06-08,Ромашка,47586.6,1309286,16697.75
2020-06-08,Вереск,28865.25,762392,11024.31
2020-06-08,Клевер,0.0,0,0.0
2020-06-08,Магнолия,21500.29,668625,0.0
2020-06-09,Магнолия,13962.28,398120,0.0
2020-06-09,Ромашка,45860.5,1264697,14732.47
2020-06-09,Вереск,42390.11,1215645,17296.77
2020-06-09,Клевер,0.0,0,0.0
2020-06-10,Вереск,14486.34,367952,5120.79
2020-06-10,Клевер,0.0,0,0.0
2020-06-10,Магнолия,39257.9,1201568,0.0
2020-06-10,Ромашка,66239.8,1798324,24966.16
2020-06-11,Вереск,37406.75,1023432,15370.32
2020-06-11,Клевер,0.0,0,0.0
2020-06-11,Магнолия,38918.15,1197023,0.0
2020-06-11,Ромашка,67193.1,1764293,24762.94
2020-06-12,Вереск,44273.58,1177790,17968.21
2020-06-12,Клевер,0.0,0,0.0
2020-06-12,Магнолия,37779.42,1178164,0.0
2020-06-12,Ромашка,69166.6,1868465,25588.15
2020-06-13,Ромашка,28484.9,812198,9865.44
2020-06-13,Магнолия,39008.25,1211122,0.0
2020-06-13,Клевер,0.0,0,0.0
2020-06-13,Вереск,47613.68,1273326,19117.22
2020-06-14,Вереск,47200.76,1273419,19375.35
2020-06-14,Клевер,0.0,0,0.0
2020-06-14,Магнолия,39124.84,1199339,0.0
2020-06-14,Ромашка,47623.9,1518822,15040.24
2020-06-15,Вереск,31575.67,780674,12171.27
2020-06-15,Клевер,0.0,0,0.0
2020-06-15,Магнолия,38130.81,1195070,0.0
2020-06-15,Ромашка,45517.3,1275902,15916.13
2020-06-16,Ромашка,61265.6,1689203,21732.35
2020-06-16,Вереск,45512.41,1246175,18577.86
2020-06-16,Клевер,0.0,0,0.0
2020-06-16,Магнолия,36734.68,1161675,0.0
